date,parent,child
2020-06-16 4:59:18,10024,388068
2020-06-16 4:59:38,10024,463943
2020-06-16 4:59:58,10024,7299
2020-06-16 5:00:18,10025,10048
2020-06-16 5:00:39,10025,105
2020-06-16 5:00:59,10025,188259
2020-06-16 5:01:19,10025,322037
2020-06-16 5:01:39,10025,388005
2020-06-16 5:01:59,10025,389479
2020-06-16 5:02:20,10025,39174
2020-06-16 5:02:40,10025,403276
2020-06-16 5:03:00,10025,442057
2020-06-16 5:03:20,10025,463936
2020-06-16 5:03:40,10025,463937
2020-06-16 5:04:01,10025,463938
2020-06-16 5:04:21,10025,463939
2020-06-16 5:04:41,10025,463940
2020-06-16 5:05:01,10025,463941
2020-06-16 5:05:21,10025,463942
2020-06-16 5:05:42,10025,47568
2020-06-16 5:06:02,10025,7397
2020-06-16 5:06:22,10025,80382
2020-06-16 5:06:42,10025,92774
2020-06-16 5:07:02,10026,10048
2020-06-16 5:07:23,10026,105
2020-06-16 5:07:43,10026,170000
2020-06-16 5:08:03,10026,241710
2020-06-16 5:08:23,10026,463913
2020-06-16 5:08:43,1002,67079
2020-06-16 5:09:04,1002,67080
2020-06-16 5:09:24,1002,67081
2020-06-16 5:09:44,1002,67082
2020-06-16 5:10:04,1002,67083
2020-06-16 5:10:24,1002,67084
2020-06-16 5:10:45,1002,67085
2020-06-16 5:11:05,1002,67086
2020-06-16 5:11:25,1002,67087
2020-06-16 5:11:45,10026,7397
2020-06-16 5:12:06,10026,8823
2020-06-16 5:12:26,10027,10014
2020-06-16 5:12:46,10027,10018
2020-06-16 5:13:06,10027,105
2020-06-16 5:13:26,10027,114954
2020-06-16 5:13:47,10027,115504
2020-06-16 5:14:07,10027,11732
2020-06-16 5:14:27,10027,170000
2020-06-16 5:14:47,10027,19299
2020-06-16 5:15:07,10027,19942
2020-06-16 5:15:28,10027,20571
2020-06-16 5:15:48,10027,242196
2020-06-16 5:16:08,10027,242360
2020-06-16 5:16:28,10027,263436
2020-06-16 5:16:48,10027,263469
2020-06-16 5:17:09,10027,265899
2020-06-16 5:17:29,10027,27257
2020-06-16 5:17:49,10027,2981
